"Arbejdssteder og job efter branche (DB07 10-grp), enhed, område og tid"

" ";" ";" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"TOT Erhverv i alt"
" ";"Arbejdssteder ultimo november"
" ";" ";"Hele landet";303349;291066;293778;295386;294395;290745;289937;289241;295823;298146;301667;305288
" ";" ";"København";29862;28998;29801;30640;30995;31201;31693;32549;33895;34401;35153;35988
" ";" ";"Frederiksberg";4572;4511;4599;4616;4762;4906;4902;5040;5204;5166;5179;5248
" ";" ";"Dragør";555;545;589;594;611;603;621;619;626;654;676;689
" ";" ";"Tårnby";1744;1657;1726;1732;1704;1712;1757;1785;1853;1888;1923;1951
" ";" ";"Albertslund";1393;1312;1319;1320;1335;1307;1350;1359;1464;1510;1572;1635
" ";" ";"Ballerup";2088;2010;2032;2029;2020;1968;1981;2017;2124;2203;2269;2268
" ";" ";"Brøndby";1609;1530;1529;1557;1520;1554;1529;1578;1598;1614;1665;1651
" ";" ";"Gentofte";4545;4440;4616;4796;4859;4767;4776;4826;4874;4922;4995;5039
" ";" ";"Gladsaxe";2568;2451;2529;2550;2587;2608;2630;2641;2722;2871;2885;2921
" ";" ";"Glostrup";1133;1096;1108;1093;1069;1068;1107;1103;1118;1115;1189;1219
" ";" ";"Herlev";1439;1379;1381;1411;1448;1445;1476;1542;1572;1634;1676;1704
" ";" ";"Hvidovre";2255;2171;2150;2182;2164;2191;2231;2264;2334;2292;2342;2387
" ";" ";"Høje-Taastrup";2463;2306;2293;2317;2285;2271;2296;2356;2497;2564;2582;2594
" ";" ";"Ishøj";917;862;846;872;831;821;811;815;827;865;872;882
" ";" ";"Lyngby-Taarbæk";2802;2812;2884;2867;2870;2842;2839;2883;3006;3047;3099;3204
" ";" ";"Rødovre";1708;1655;1676;1690;1739;1717;1786;1789;1837;1885;1883;1933
" ";" ";"Vallensbæk";531;506;516;537;539;564;557;552;606;609;677;642
" ";" ";"Allerød";1349;1315;1323;1321;1351;1339;1314;1320;1366;1358;1370;1377
" ";" ";"Egedal";1929;1896;1860;1870;1868;1857;1864;1851;1870;1896;1927;2004
" ";" ";"Fredensborg";1947;1854;1915;1908;1920;1927;1919;1976;2003;2010;2038;2080
" ";" ";"Frederikssund";2568;2479;2461;2493;2460;2399;2384;2357;2343;2381;2408;2392
" ";" ";"Furesø";1732;1682;1707;1729;1713;1722;1755;1746;1831;1839;1858;1877
