"Befolkningen efter område og tid"

" ";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005"
"1050 København K";22;20;21;19;17;19;15;17;18
"1051 København K";251;251;246;242;245;239;224;206;216
"1052 København K";343;361;364;372;386;379;382;358;385
"1053 København K";360;350;365;361;405;438;448;441;416
"1054 København K";321;324;322;315;329;336;346;334;358
"1055 København K";256;255;297;307;304;309;299;293;312
"1056 København K";42;46;48;47;45;51;49;48;49
"1057 København K";283;285;279;279;268;282;273;282;283
"1058 København K";143;147;138;151;155;156;156;170;172
"1059 København K";17;16;17;15;16;16;12;15;14
"1061 København K";18;18;17;21;19;20;20;18;17
"1062 København K";15;14;14;19;18;18;18;19;20
"1063 København K";111;105;102;102;102;105;98;95;88
"1064 København K";7;6;7;6;7;5;7;7;6
"1065 København K";9;9;12;6;6;5;8;9;9
"1066 København K";48;52;49;50;48;45;47;48;40
"1067 København K";51;49;57;53;54;56;55;55;69
"1068 København K";33;32;33;33;34;35;34;37;37
"1069 København K";34;33;34;34;32;31;30;30;28
"1070 København K";59;59;60;60;58;61;56;52;53
"1071 København K";55;57;59;60;64;58;61;58;57
"1072 København K";3;3;3;3;2;3;2;3;4
"1074 København K";15;14;12;17;15;18;19;19;23
"1100 København K";10;12;18;19;14;18;19;12;14
"1101 København K";47;45;47;52;45;45;55;51;54
"1102 København K";1;1;1;1;1;1;1;1;1
"1103 København K";8;3;5;5;5;5;5;5;6
"1104 København K";59;64;63;61;56;55;56;53;54
"1106 København K";7;5;8;9;8;8;7;9;8
"1107 København K";76;69;76;77;83;87;91;79;75
"1110 København K";58;57;57;50;56;55;56;53;64
"1111 København K";56;58;53;57;59;60;54;59;56
"1112 København K";84;83;89;89;95;101;100;95;93
"1113 København K";12;12;10;8;13;12;13;11;17
"1114 København K";58;63;63;65;71;67;76;74;79
"1115 København K";33;34;36;30;32;28;29;34;32
"1116 København K";50;47;46;47;52;46;45;40;44
"1117 København K";68;65;62;71;76;70;62;62;72
"1118 København K";8;8;4;8;10;13;8;12;14
"1119 København K";25;18;22;24;23;24;21;27;29
"1123 København K";727;732;731;724;731;716;775;762;770
"1124 København K";101;103;120;129;127;108;120;113;121
"1126 København K (2000)";0;0;0;1;0;0;0;0;0
"1127 København K";68;70;62;68;67;72;67;75;81
"1128 København K";14;12;13;10;10;10;12;12;14
"1129 København K";50;52;46;51;57;46;56;52;51
"1130 København K";100;103;106;109;110;111;108;106;113
"1131 København K";25;23;21;24;24;25;24;23;21
"1150 København K";139;141;140;147;159;138;132;120;127
"1151 København K";47;45;43;43;49;37;46;50;35
"1152 København K";26;24;28;28;21;24;29;36;32
"1153 København K";46;43;44;41;37;38;42;46;41
"1154 København K";82;81;88;92;83;76;77;73;83
"1156 København K";19;14;14;14;15;14;14;11;13
"1157 København K";65;63;66;67;67;66;69;72;69
"1158 København K";1;1;2;1;1;1;2;1;1
"1159 København K (excl. 1999)";186;183;173;173;184;201;195;193;186
"1160 København K";19;17;18;21;20;20;20;22;15
"1161 København K";37;42;47;37;36;35;31;34;32
"1164 København K";3;2;3;3;3;4;4;4;4
"1165 København K";88;102;98;106;99;92;93;91;90
"1166 København K";3;3;3;4;2;4;3;5;5
"1169 København K";242;229;229;251;239;232;239;240;241
"1170 København K";17;18;18;18;18;18;18;18;18
"1171 København K";233;235;241;223;228;222;228;227;227
"1172 København K";118;112;117;115;104;102;108;108;104
"1173 København K";129;132;133;131;135;123;120;136;138
"1174 København K";126;123;130;131;126;133;142;139;139
"1175 København K";9;10;10;9;9;10;10;11;11
"1200 København K";17;13;13;12;12;11;9;9;11
"1201 København K";44;42;47;50;49;45;48;42;52
"1202 København K";32;33;32;29;31;32;32;29;30
"1203 København K";61;58;61;51;53;52;55;60;57
"1204 København K";48;48;45;44;39;44;41;40;40
"1205 København K";28;29;26;30;32;37;32;28;32
"1206 København K";28;26;27;27;29;28;30;31;25
"1207 København K";34;34;36;46;34;35;34;41;40
"1208 København K";121;122;123;131;134;109;133;133;124
"1209 København K";114;104;105;111;110;115;102;105;116
"1210 København K";85;82;83;81;73;85;83;86;79
"1211 København K";60;57;56;64;65;61;61;58;59
