What;Kommune;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
"I alt";"Assens";40.6;40.7;40.8;41.0;41.2;41.4;41.8;42.2;42.7;43.1;43.3;43.6;43.7;44.0;44.1;44.5
"I alt";"Faaborg-Midtfyn";41.5;41.8;41.9;42.1;42.2;42.4;42.6;43.0;43.4;43.7;43.9;44.1;44.3;44.4;44.6;44.9
"I alt";"Kerteminde";41.0;41.3;41.5;41.8;42.0;42.2;42.6;43.0;43.3;43.7;44.1;44.3;44.6;45.0;45.3;45.6
"I alt";"Langeland";46.2;46.5;46.8;47.3;47.7;47.9;48.4;48.8;49.4;49.7;50.1;50.3;50.4;50.6;50.9;51.3
"I alt";"Middelfart";40.7;40.9;41.0;41.1;41.3;41.5;41.8;42.2;42.6;42.9;43.2;43.4;43.6;43.9;44.1;44.3
"I alt";"Nordfyns";40.8;40.9;41.0;41.1;41.2;41.5;41.8;42.2;42.6;43.0;43.3;43.5;43.7;44.0;44.2;44.6
"I alt";"Nyborg";41.4;41.7;41.9;41.9;42.1;42.4;42.7;43.0;43.3;43.6;43.8;43.9;44.1;44.4;44.7;45.0
"I alt";"Odense";38.8;38.8;38.9;39.0;39.1;39.1;39.2;39.2;39.2;39.2;39.3;39.4;39.4;39.5;39.6;39.7
"I alt";"Svendborg";40.9;41.1;41.3;41.4;41.6;41.9;42.2;42.5;42.8;43.1;43.4;43.6;43.8;43.9;44.1;44.5
"I alt";"�r�";48.0;48.2;48.4;48.7;48.9;49.0;49.2;49.4;49.9;50.5;50.9;50.9;51.6;51.8;52.2;52.4
"M�nd";"Assens";39.7;39.9;40.0;40.2;40.4;40.6;41.0;41.5;41.9;42.3;42.6;42.7;43.0;43.1;43.3;43.7
"M�nd";"Faaborg-Midtfyn";40.4;40.7;40.9;41.0;41.1;41.3;41.5;41.9;42.3;42.6;42.9;43.1;43.3;43.5;43.6;44.0
"M�nd";"Kerteminde";40.4;40.7;40.9;41.2;41.4;41.6;41.9;42.3;42.5;42.9;43.2;43.4;43.7;44.1;44.3;44.7
"M�nd";"Langeland";44.8;45.2;45.4;45.9;46.4;46.7;47.2;47.6;48.2;48.5;48.9;49.0;49.1;49.4;49.7;50.1
"M�nd";"Middelfart";39.8;40.0;40.1;40.2;40.4;40.6;40.9;41.2;41.7;41.9;42.2;42.5;42.7;43.0;43.2;43.4
"M�nd";"Nordfyns";39.9;40.1;40.1;40.3;40.3;40.7;41.0;41.4;41.8;42.2;42.4;42.6;42.8;43.1;43.4;43.8
"M�nd";"Nyborg";40.4;40.7;41.0;41.0;41.2;41.5;41.8;42.1;42.4;42.8;43.0;43.0;43.2;43.5;43.7;44.1
"M�nd";"Odense";37.4;37.5;37.6;37.8;37.9;38.0;38.0;38.0;38.1;38.1;38.2;38.3;38.4;38.5;38.5;38.6
"M�nd";"Svendborg";39.6;39.8;40.0;40.2;40.4;40.7;41.0;41.3;41.7;42.0;42.3;42.4;42.7;42.8;43.0;43.4
"M�nd";"�r�";46.1;46.4;46.6;47.0;47.2;47.3;47.3;47.6;48.3;48.7;49.1;49.2;49.9;50.3;50.6;50.7
"Kvinder";"Assens";41.5;41.5;41.6;41.8;42.0;42.3;42.6;43.0;43.4;43.8;44.1;44.4;44.5;44.8;45.0;45.3
"Kvinder";"Faaborg-Midtfyn";42.6;42.9;43.0;43.1;43.3;43.5;43.7;44.1;44.5;44.8;45.0;45.0;45.2;45.4;45.6;45.8
"Kvinder";"Kerteminde";41.7;41.9;42.0;42.4;42.6;42.9;43.3;43.7;44.0;44.5;45.0;45.2;45.4;45.8;46.2;46.6
"Kvinder";"Langeland";47.5;47.9;48.3;48.7;49.1;49.2;49.6;50.1;50.6;50.9;51.3;51.6;51.7;51.9;52.1;52.6
"Kvinder";"Middelfart";41.6;41.9;42.0;42.1;42.2;42.4;42.8;43.1;43.5;43.8;44.1;44.3;44.5;44.7;44.9;45.1
"Kvinder";"Nordfyns";41.8;41.8;41.9;41.9;42.1;42.3;42.7;43.1;43.5;43.8;44.1;44.4;44.6;44.9;45.1;45.3
"Kvinder";"Nyborg";42.5;42.7;42.8;42.8;43.1;43.3;43.6;43.8;44.2;44.4;44.6;44.8;44.9;45.3;45.6;45.8
"Kvinder";"Odense";40.1;40.1;40.1;40.2;40.2;40.3;40.3;40.3;40.3;40.3;40.3;40.4;40.5;40.5;40.6;40.7
"Kvinder";"Svendborg";42.1;42.3;42.5;42.6;42.8;43.1;43.3;43.6;43.9;44.3;44.5;44.7;44.8;45.0;45.3;45.5
"Kvinder";"�r�";49.8;49.9;50.3;50.4;50.6;50.7;51.2;51.2;51.5;52.2;52.7;52.7;53.4;53.3;53.8;54.1
